position,url,domain,category,confidence,explanation,classifier,signals
1,https://www.starcasino.nl/,starcasino.nl,official,0.97,starcasino.nl is listed in the brand's official domain registry,rules,official_domain
2,https://www.starcasino.nl/live-casino,starcasino.nl,official,0.97,starcasino.nl is listed in the brand's official domain registry,rules,official_domain
3,https://www.onlinecasinoground.nl/starcasino-review/,onlinecasinoground.nl,affiliate,0.84,"review/bonus vocabulary in the title or snippet: review, ervaringen, bonus; outbound links to the official domain carry tracking parameters (btag, subid); comparison list of casinos that includes both the brand and its competitors",rules,review_markers|tracked_link_to_official|multi_brand_toplist
4,https://casino.nl/aanbieders/starcasino/,casino.nl,affiliate,0.84,"review/bonus vocabulary in the title or snippet: beoordeling, vergelijk, beste casino; internal redirect link https://casino.nl/go/starcasino is cloaked and resolves to the official domain (starcasino.nl); comparison list of casinos that includes both the brand and its competitors",rules,review_markers|cloaked_link_to_official|multi_brand_toplist
5,https://www.jackscasino.nl/promoties,jackscasino.nl,competitor,0.68,jackscasino.nl is another licensed operator's domain,rules,known_operator_domain|review_markers
6,https://starcasinobonus.net/nl/promocode,starcasinobonus.net,affiliate,0.87,"the brand name appears in the domain, but the domain is not official; review/bonus vocabulary in the title or snippet: bonus, gratis spins, aanbieding; the redirect chain ends at starcasino.nl; traffic is monetised through a redirect host and lands on the brand",rules,brand_in_domain|review_markers|redirect_to_official|affiliate_network_link
7,https://www.casinonieuws.nl/nieuws/starcasino-sponsordeal-2026/,casinonieuws.nl,unknown,0.3,"signals are contradictory or weak (best hypothesis: affiliate, weight 0.35); best hypothesis is affiliate (weight 0.35), but the 0.6/0.6 threshold was not reached",rules,plain_link_to_official
8,https://casinozonder.nl/starcasino-alternatief,casinozonder.nl,competitor,0.67,"the page targets the brand but links only to other operators: betcity.nl, tonybet.nl, unibet.nl; traffic is monetised through a redirect host and lands on other operators",rules,unresolved_internal_redirect|brand_query_no_official_link|affiliate_network_link
9,https://nl.trustpilot.com/review/starcasino.nl,trustpilot.com,unknown,0.58,trustpilot.com is an informational/non-commercial resource; monetisation of brand traffic is not confirmed,rules,neutral_domain|review_markers|plain_link_to_official
10,https://casinobonus-nederland.com/starcasino/,casinobonus-nederland.com,unknown,0.5,no page-level evidence (HTTP 403 (Cloudflare bot protection)),rules,review_markers|no_page_evidence
